id_registro,fecha_deposito,run_fondo,nombre_fondo,administradora,estado_registro,estado_liquidacion,tipo_fondo,reglamento_codigo,reglamento_url,fecha_ultima_modificacion,primera_deteccion
FM262628,2026-04-17,10861,BCI MID &  SMALL CHILE FONDO DE INVERSIÓN,BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión Rescatable,2026050358475,https://www.cmfchile.cl/documentos/rfm/rfm_2026050358475.pdf,2026-05-29,2026-08-20
FM262627,2026-04-16,10860,PICTON - TJC RESOLUTE VII FONDO DE INVERSIÓN,PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026040262920,https://www.cmfchile.cl/documentos/rfm/rfm_2026040262920.pdf,2026-04-16,2026-08-20
FM262626,2026-04-15,10859,FONDO DE INVERSIÓN PRUDENTIAL CHILE LOGÍSTICO I,PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026040261445,https://www.cmfchile.cl/documentos/rfm/rfm_2026040261445.pdf,2026-04-15,2026-08-20
FM262625,2026-04-06,10858,FONDO DE INVERSIÓN ASSET DESARROLLO CHAMISERO,ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080509344,https://www.cmfchile.cl/documentos/rfm/rfm_2026080509344.pdf,2026-08-04,2026-08-20
FM262624,2026-04-06,10857,MONEDA PATRIA COINVESTMENT II FONDO DE INVERSIÓN,MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026050322942,https://www.cmfchile.cl/documentos/rfm/rfm_2026050322942.pdf,2026-05-11,2026-08-20
FM262623,2026-04-02,10856,TAURUS CASPICHE FONDO DE INVERSIÓN,VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026050357731,https://www.cmfchile.cl/documentos/rfm/rfm_2026050357731.pdf,2026-05-28,2026-08-20
FM262622,2026-03-31,10855,FONDO DE INVERSIÓN SANTANDER HIGH CONVICTION FIXED INCOME CLP,SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026030221097,https://www.cmfchile.cl/documentos/rfm/rfm_2026030221097.pdf,2026-03-31,2026-08-20
FM262620,2026-03-30,10853,CHILE RENEWABLES I FONDO DE INVERSIÓN,VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030215464,https://www.cmfchile.cl/documentos/rfm/rfm_2026030215464.pdf,2026-03-30,2026-08-20
FM262621,2026-03-30,10854,VOLCOMCAPITAL CREDIT VI FONDO DE INVERSIÓN,VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060371274,https://www.cmfchile.cl/documentos/rfm/rfm_2026060371274.pdf,2026-06-03,2026-08-20
FM262619,2026-03-23,10852,BICE STEPSTONE SSOF VI FONDO DE INVERSIÓN,BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030196367,https://www.cmfchile.cl/documentos/rfm/rfm_2026030196367.pdf,2026-03-23,2026-08-20
FM262617,2026-03-17,10850,FONDO MUTUO FINTUAL MODERATE BRAD 107,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026030183962,https://www.cmfchile.cl/documentos/rfm/rfm_2026030183962.pdf,2026-03-17,2026-08-20
FM262618,2026-03-17,10851,FONDO MUTUO FINTUAL CONSERVATIVE GEORGE 107,FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026030184026,https://www.cmfchile.cl/documentos/rfm/rfm_2026030184026.pdf,2026-03-17,2026-08-20
FM262616,2026-03-11,10849,VOLCOMCAPITAL MID MARKET III FONDO DE INVERSION,VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030172518,https://www.cmfchile.cl/documentos/rfm/rfm_2026030172518.pdf,2026-03-11,2026-08-20
FM262615,2026-03-11,10848,PICTON - EQT XI FONDO DE INVERSIÓN,PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030172100,https://www.cmfchile.cl/documentos/rfm/rfm_2026030172100.pdf,2026-03-11,2026-08-20
FM262614,2026-03-10,10847,JADE CI CO-INVEST CHILE FONDO DE INVERSIÓN,ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.,Vigente,,Fondo Inversión No Rescatable,2026030168225,https://www.cmfchile.cl/documentos/rfm/rfm_2026030168225.pdf,2026-03-10,2026-08-20
FM262613,2026-03-02,10846,FONDO DE INVERSION INVINSA OFICINAS,INVINSA ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030142058,https://www.cmfchile.cl/documentos/rfm/rfm_2026030142058.pdf,2026-03-02,2026-08-20
FM262612,2026-02-27,10845,VINCI COMPASS BRAZIL EQUITY FONDO DE INVERSIÓN,VINCI COMPASS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026020138137,https://www.cmfchile.cl/documentos/rfm/rfm_2026020138137.pdf,2026-02-27,2026-08-20
FM262611,2026-02-26,10844,FONDO DE INVERSIÓN RENTA 4 CHILE ACCIONES,FINASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión Rescatable,2026050324571,https://www.cmfchile.cl/documentos/rfm/rfm_2026050324571.pdf,2026-07-31,2026-08-20
FM262609,2026-02-24,10842,BTG PACTUAL ETF LATAM EQUITIES FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026020130435,https://www.cmfchile.cl/documentos/rfm/rfm_2026020130435.pdf,2026-02-24,2026-08-20
FM262610,2026-02-24,10843,BTG PACTUAL CRÉDITO PRIVADO FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026070468625,https://www.cmfchile.cl/documentos/rfm/rfm_2026070468625.pdf,2026-07-20,2026-08-20
FM262608,2026-02-23,10841,BTG PACTUAL RENTA FIJA CHILE LARGO PLAZO ETF FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026020128587,https://www.cmfchile.cl/documentos/rfm/rfm_2026020128587.pdf,2026-02-23,2026-08-20
FM262607,2026-02-19,10840,FONDO DE INVERSIÓN LINK – INFLEXION BUYOUT VII,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026020122152,https://www.cmfchile.cl/documentos/rfm/rfm_2026020122152.pdf,2026-02-19,2026-08-20
FM262606,2026-02-11,10839,FONDO DE INVERSIÓN ASSET OUTLETS VIVO,ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026030187574,https://www.cmfchile.cl/documentos/rfm/rfm_2026030187574.pdf,2026-03-18,2026-08-20
FM262605,2026-02-05,10838,BTG PACTUAL RENTA INDUSTRIAL DLS I FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026050354895,https://www.cmfchile.cl/documentos/rfm/rfm_2026050354895.pdf,2026-05-27,2026-08-20
